Cell	Localization-cluster
ABalpppppp	C01
ABplaapapp	C01
ABplaappaa	C01
ABplaappap	C01
ABplpaaaap	C01
ABplpaaapa	C01
ABplpaaapp	C01
ABplpaapap	C01
ABplpaappa	C01
ABplpapaaa	C01
ABplppaaaa	C01
MSapapa	C01
ABalaaaala	C02
ABalaaaarl	C02
ABalaaaarr	C02
ABalaaapal	C02
ABalaaapar	C02
ABalaaappl	C02
ABalaaappr	C02
ABalapaaaa	C02
ABalappaaa	C02
ABalappaap	C02
ABalappapa	C02
ABalpaaaaa	C02
ABalpaapaa	C02
ABaraaaaaa	C02
ABaraaaaap	C02
ABaraaaapa	C02
ABaraapaaa	C02
MSaaaaaa	C02
ABarppappa	C03
ABarppappp	C03
ABplapapaa	C03
ABplapapap	C03
ABplapappa	C03
ABplapappp	C03
ABplappapp	C03
ABplapppaa	C03
ABplapppap	C03
ABplappppa	C03
ABplappppp	C03
ABplpppapp	C03
Caaaaa	C03
Caaaap	C03
Caapa	C03
Cappaa	C03
Cappap	C03
Capppa	C03
Dapp	C03
ABarapappp	C04
ABarpaappa	C04
ABarpaappp	C04
ABarpapapp	C04
ABarpppaaa	C04
ABplpapppa	C04
ABprpappaa	C04
Earap	C04
Earpa	C04
MSaapapp	C04
MSaappa	C04
MSpapaap	C04
MSpapapa	C04
MSpapapp	C04
MSpppaa	C04
ABarpppapp	C05
ABplpppppa	C05
ABplpppppp	C05
ABprpapppp	C05
Capaap	C05
Capapa	C05
Cpaaaa	C05
Cppaaa	C05
Cppaap	C05
Dapa	C05
Dpap	C05
Dppa	C05
Eplaa	C05
Eplap	C05
Eprap	C05
MSpappp	C05
Z2	C05
ABalaapaaa	C06
ABalaapaap	C06
ABalaapapa	C06
ABalaapapp	C06
ABalaappaa	C06
ABalaappap	C06
ABalaapppa	C06
ABalapapap	C06
ABalappapp	C06
ABalapppaa	C06
ABalapppap	C06
ABalpaaapa	C06
ABalpaappp	C06
ABalpapaap	C06
ABalpapapa	C06
ABalpappaa	C06
ABaraaaapp	C06
ABaraaapaa	C06
ABaraaapap	C06
ABaraaappa	C06
ABaraapaap	C06
ABaraapapa	C06
ABaraappaa	C06
ABarpaaaaa	C06
ABarpaaaap	C06
ABarpaaapa	C06
ABplaaaaaa	C06
MSaaaaap	C06
MSaaaapa	C06
MSaaapaa	C06
MSpaaaaa	C06
MSpaaaap	C06
ABarpppppp	C07
ABprapapap	C07
ABprapappa	C07
ABprapappp	C07
ABprappapp	C07
ABprapppap	C07
ABprappppa	C07
ABprappppp	C07
ABprpppapa	C07
ABprpppapp	C07
Caaapa	C07
Caaapp	C07
Caappd	C07
Caappv	C07
Cpaapa	C07
Cpaapp	C07
Cpapaa	C07
Cpapap	C07
Cpappd	C07
Cpappv	C07
Cpppap	C07
Cppppa	C07
Cppppp	C07
ABarapapap	C08
ABarapappa	C08
ABarappaaa	C08
ABarappaap	C08
ABarappapa	C08
ABarapppap	C08
ABarappppa	C08
ABarappppp	C08
ABarpappaa	C08
ABarpappap	C08
ABarpapppa	C08
ABpraaaapp	C08
ABpraaappa	C08
ABpraaappp	C08
ABpraapaap	C08
ABpraapapa	C08
ABpraapapp	C08
ABpraappaa	C08
ABprpaaaap	C08
ABprpaaapa	C08
ABprpaapaa	C08
ABprppaaaa	C08
MSppaaa	C08
MSppaap	C08
MSppapa	C08
ABalaaaalp	C09
ABalapaaap	C09
ABalapaapa	C09
ABalapaapp	C09
ABalapapaa	C09
ABalapappa	C09
ABalpaaaap	C09
ABalpaapap	C09
ABalpaappa	C09
ABalpapaaa	C09
ABalppaaaa	C09
ABalppaaap	C09
ABalppaapa	C09
ABalppaapp	C09
ABalppapaa	C09
ABalppapap	C09
ABalppappa	C09
ABalpppaaa	C09
ABalpppaap	C09
ABalpppapa	C09
ABalpppapp	C09
ABalppppaa	C09
ABalppppap	C09
ABalpppppa	C09
ABplaaaaap	C09
ABplaapaaa	C09
ABplaapaap	C09
ABplaapapa	C09
ABplpaaaaa	C09
ABplpaapaa	C09
MSapaaa	C09
ABalaapppp	C10
ABalappppa	C10
ABalappppp	C10
ABaraaappp	C10
ABaraappap	C10
ABaraapppa	C10
ABaraapppp	C10
ABarapaaaa	C10
ABarapaaap	C10
ABarapaapa	C10
ABarapaapp	C10
ABarapapaa	C10
ABarapppaa	C10
ABarpapaaa	C10
ABarpapaap	C10
ABarpapapa	C10
ABpraaaaaa	C10
ABpraaaaap	C10
ABpraaaapa	C10
ABpraaapaa	C10
ABpraaapap	C10
ABpraapaaa	C10
ABprpaaaaa	C10
MSpaaapa	C10
MSpaaapp	C10
MSpaapaa	C10
MSpaapap	C10
ABarppaaaa	C11
ABarppaaap	C11
ABplaaapap	C11
ABplaaappa	C11
ABplaaappp	C11
ABplaapppa	C11
ABplaapppp	C11
ABplapaaaa	C11
ABplapaaap	C11
ABplapaapa	C11
ABplappaaa	C11
ABplpaappp	C11
ABplpapaap	C11
ABplpapapa	C11
ABplpapapp	C11
ABplpappap	C11
ABplppaaap	C11
ABplppaapa	C11
ABplppaapp	C11
ABplppapaa	C11
ABplppapap	C11
ABplpppaaa	C11
Ealap	C11
Ealpa	C11
MSapapp	C11
MSappaa	C11
MSappap	C11
MSapppa	C11
ABalapappp	C12
ABalpaaapp	C12
ABalpapapp	C12
ABalpappap	C12
ABalpapppa	C12
ABalpapppp	C12
ABalppappp	C12
ABaraapapp	C12
ABarpaaapp	C12
ABarpaapaa	C12
ABarpaapap	C12
ABplaaaapa	C12
ABplaaaapp	C12
ABplaaapaa	C12
ABplpappaa	C12
Ealaa	C12
Earaa	C12
MSaaaapp	C12
MSaaapap	C12
MSaaapp	C12
MSaapaaa	C12
MSaapaap	C12
MSaapapa	C12
MSapaap	C12
MSpaapp	C12
MSpapaaa	C12
ABarppaapa	C13
ABarppaapp	C13
ABarppapaa	C13
ABarppapap	C13
ABplapaapp	C13
ABplappaap	C13
ABplappapa	C13
ABplpapppp	C13
ABplppappa	C13
ABplppappp	C13
ABplpppaap	C13
ABplpppapa	C13
ABplppppaa	C13
ABplppppap	C13
Capaaa	C13
Daaa	C13
Daap	C13
